,CO,Date,NO2,Overall AQI Value,Ozone,PM25,SO2
0,4.806451612903226,01,33.193548387096776,44.483870967741936,22.129032258064516,43.483870967741936,3.2580645161290325
1,3.5172413793103448,02,29.620689655172413,37.793103448275865,26.620689655172413,33.310344827586206,2.586206896551724
2,3.7419354838709675,03,32.193548387096776,41.58064516129032,33.38709677419355,31.06451612903226,2.2903225806451615
3,2.8333333333333335,04,29.4,40.03333333333333,38.7,25.533333333333335,0.7333333333333333
4,3.838709677419355,05,30.548387096774192,45.41935483870968,42.61290322580645,29.741935483870968,0.7096774193548387
5,2.7666666666666666,06,23.9,51.166666666666664,50.333333333333336,30.566666666666666,0.6
6,2.6451612903225805,07,23.774193548387096,61.45161290322581,61.45161290322581,35.74193548387097,0.41935483870967744
7,2.4193548387096775,08,22.129032258064516,46.774193548387096,47.0,30.64516129032258,0.5806451612903226
8,3.3,09,22.166666666666668,36.5,34.63333333333333,23.866666666666667,0.3
9,4.387096774193548,10,26.612903225806452,33.29032258064516,27.548387096774192,24.580645161290324,0.6774193548387096
10,4.733333333333333,11,31.933333333333334,39.0,22.2,33.5,2.2666666666666666
11,3.838709677419355,12,29.516129032258064,39.03225806451613,20.225806451612904,37.483870967741936,2.4516129032258065
12,5.387096774193548,01,34.61290322580645,46.87096774193548,20.677419354838708,46.38709677419355,5.032258064516129
13,4.793103448275862,02,33.241379310344826,39.86206896551724,26.103448275862068,37.13793103448276,3.896551724137931
14,4.870967741935484,03,35.193548387096776,43.61290322580645,32.483870967741936,34.41935483870968,2.967741935483871
15,4.266666666666667,04,33.3,41.833333333333336,38.03333333333333,28.266666666666666,2.066666666666667
16,5.516129032258065,05,34.12903225806452,48.096774193548384,43.96774193548387,29.258064516129032,1.096774193548387
17,4.5,06,29.533333333333335,51.333333333333336,49.13333333333333,29.666666666666668,0.8
18,4.548387096774194,07,27.419354838709676,58.25806451612903,57.12903225806452,36.74193548387097,0.5161290322580645
19,4.0,08,24.967741935483872,46.645161290322584,45.54838709677419,30.0,0.6774193548387096
20,4.333333333333333,09,26.3,38.36666666666667,35.766666666666666,25.5,0.6333333333333333
21,5.548387096774194,10,29.0,33.70967741935484,25.516129032258064,25.64516129032258,1.3870967741935485
22,5.566666666666666,11,32.0,40.06666666666667,21.533333333333335,34.7,2.8666666666666667
23,5.193548387096774,12,30.322580645161292,38.96774193548387,19.387096774193548,37.32258064516129,2.4838709677419355
24,-1.0,01,-1.0,42.54838709677419,-1.0,42.54838709677419,-1.0
25,-1.0,02,-1.0,33.724137931034484,-1.0,33.724137931034484,-1.0
26,-1.0,03,-1.0,31.161290322580644,-1.0,31.161290322580644,-1.0
27,-1.0,04,-1.0,24.3,-1.0,24.3,-1.0
28,-1.0,05,-1.0,26.322580645161292,-1.0,26.322580645161292,-1.0
29,-1.0,06,-1.0,28.7,-1.0,28.7,-1.0
30,-1.0,07,-1.0,30.677419354838708,-1.0,30.677419354838708,-1.0
31,-1.0,08,-1.0,27.677419354838708,-1.0,27.677419354838708,-1.0
32,-1.0,09,-1.0,22.433333333333334,-1.0,22.433333333333334,-1.0
33,-1.0,10,-1.0,24.93548387096774,-1.0,24.93548387096774,-1.0
34,-1.0,11,-1.0,32.2,-1.0,32.2,-1.0
35,-1.0,12,-1.0,35.96774193548387,-1.0,35.96774193548387,-1.0
36,5.064516129032258,01,-1.0,57.38709677419355,19.70967741935484,57.38709677419355,-1.0
37,4.551724137931035,02,-1.0,49.827586206896555,24.20689655172414,49.827586206896555,-1.0
38,4.290322580645161,03,-1.0,43.32258064516129,31.129032258064516,39.67741935483871,-1.0
39,3.3,04,-1.0,40.06666666666667,36.666666666666664,32.166666666666664,-1.0
40,3.6451612903225805,05,-1.0,46.225806451612904,41.70967741935484,34.38709677419355,-1.0
41,2.966666666666667,06,-1.0,50.4,48.0,34.93333333333333,-1.0
42,2.7419354838709675,07,-1.0,58.25806451612903,57.03225806451613,39.774193548387096,-1.0
43,2.5161290322580645,08,-1.0,45.064516129032256,43.67741935483871,33.903225806451616,-1.0
44,2.966666666666667,09,-1.0,37.733333333333334,35.1,30.366666666666667,-1.0
45,4.0,10,-1.0,35.193548387096776,24.612903225806452,33.645161290322584,-1.0
46,4.0,11,-1.0,39.833333333333336,21.033333333333335,38.96666666666667,-1.0
47,3.870967741935484,12,-1.0,46.064516129032256,18.548387096774192,46.064516129032256,-1.0
