,CO,Date,NO2,Overall AQI Value,Ozone,PM25,SO2
0,4.161290322580645,01,30.70967741935484,44.45161290322581,21.06451612903226,43.903225806451616,4.451612903225806
1,4.928571428571429,02,41.035714285714285,48.92857142857143,25.321428571428573,47.5,6.178571428571429
2,6.451612903225806,03,40.74193548387097,47.38709677419355,29.580645161290324,38.516129032258064,3.0
3,3.566666666666667,04,33.06666666666667,41.266666666666666,36.13333333333333,24.1,1.3333333333333333
4,3.064516129032258,05,31.06451612903226,48.25806451612903,39.064516129032256,42.38709677419355,0.9032258064516129
5,2.533333333333333,06,24.533333333333335,44.733333333333334,43.0,30.9,0.26666666666666666
6,3.161290322580645,07,27.225806451612904,55.354838709677416,52.064516129032256,41.516129032258064,0.45161290322580644
7,2.6451612903225805,08,24.580645161290324,52.96774193548387,52.774193548387096,31.06451612903226,0.5806451612903226
8,3.2333333333333334,09,26.966666666666665,44.93333333333333,43.5,30.933333333333334,0.7666666666666667
9,2.7096774193548385,10,25.612903225806452,30.903225806451612,25.322580645161292,22.967741935483872,1.2903225806451613
10,5.333333333333333,11,30.933333333333334,36.3,21.866666666666667,31.933333333333334,1.8333333333333333
11,5.67741935483871,12,31.193548387096776,44.41935483870968,17.225806451612904,43.0,1.7741935483870968
12,6.67741935483871,01,33.25806451612903,52.774193548387096,22.161290322580644,52.774193548387096,7.612903225806452
13,6.571428571428571,02,40.392857142857146,59.25,23.928571428571427,59.25,10.142857142857142
14,6.612903225806452,03,44.516129032258064,50.903225806451616,28.516129032258064,42.354838709677416,7.064516129032258
15,4.033333333333333,04,36.833333333333336,44.53333333333333,35.666666666666664,26.733333333333334,4.133333333333334
16,3.967741935483871,05,38.29032258064516,51.16129032258065,40.61290322580645,42.225806451612904,3.0
17,3.3666666666666667,06,29.466666666666665,43.86666666666667,41.46666666666667,29.8,1.0
18,4.225806451612903,07,28.580645161290324,55.064516129032256,50.0,43.645161290322584,1.7419354838709677
19,2.4838709677419355,08,28.451612903225808,54.12903225806452,53.74193548387097,30.838709677419356,1.2580645161290323
20,3.3666666666666667,09,30.3,49.0,46.833333333333336,31.533333333333335,1.4333333333333333
21,3.225806451612903,10,26.903225806451612,30.225806451612904,24.451612903225808,22.225806451612904,3.5161290322580645
22,5.4,11,33.5,38.96666666666667,21.666666666666668,33.53333333333333,4.5
23,6.161290322580645,12,31.483870967741936,45.83870967741935,17.387096774193548,45.0,3.225806451612903
24,-1.0,01,-1.0,44.70967741935484,-1.0,44.70967741935484,-1.0
25,-1.0,02,-1.0,43.92857142857143,-1.0,43.92857142857143,-1.0
26,-1.0,03,-1.0,35.12903225806452,-1.0,35.12903225806452,-1.0
27,-1.0,04,-1.0,23.066666666666666,-1.0,23.066666666666666,-1.0
28,-1.0,05,-1.0,34.67741935483871,-1.0,34.67741935483871,-1.0
29,-1.0,06,-1.0,26.366666666666667,-1.0,26.366666666666667,-1.0
30,-1.0,07,-1.0,39.38709677419355,-1.0,39.38709677419355,-1.0
31,-1.0,08,-1.0,26.903225806451612,-1.0,26.903225806451612,-1.0
32,-1.0,09,-1.0,28.233333333333334,-1.0,28.233333333333334,-1.0
33,-1.0,10,-1.0,21.93548387096774,-1.0,21.93548387096774,-1.0
34,-1.0,11,-1.0,30.333333333333332,-1.0,30.333333333333332,-1.0
35,-1.0,12,-1.0,40.903225806451616,-1.0,40.903225806451616,-1.0
36,-1.0,01,-1.0,46.806451612903224,-1.0,46.806451612903224,-1.0
37,-1.0,02,-1.0,46.642857142857146,-1.0,46.642857142857146,-1.0
38,-1.0,03,-1.0,40.935483870967744,11.258064516129032,37.96774193548387,-1.0
39,-1.0,04,-1.0,43.5,42.43333333333333,26.4,-1.0
40,-1.0,05,-1.0,57.54838709677419,53.45161290322581,38.03225806451613,-1.0
41,-1.0,06,-1.0,48.833333333333336,48.2,31.733333333333334,-1.0
42,-1.0,07,-1.0,62.806451612903224,58.83870967741935,46.774193548387096,-1.0
43,-1.0,08,-1.0,61.806451612903224,61.645161290322584,32.70967741935484,-1.0
44,-1.0,09,-1.0,52.53333333333333,50.733333333333334,35.333333333333336,-1.0
45,-1.0,10,-1.0,30.870967741935484,27.774193548387096,25.741935483870968,-1.0
46,-1.0,11,-1.0,36.1,23.4,34.666666666666664,-1.0
47,-1.0,12,-1.0,43.96774193548387,19.0,43.96774193548387,-1.0
48,4.645161290322581,01,-1.0,57.0,19.0,57.0,-1.0
49,5.142857142857143,02,-1.0,60.92857142857143,22.071428571428573,60.92857142857143,-1.0
50,8.32258064516129,03,-1.0,47.645161290322584,24.451612903225808,47.32258064516129,-1.0
51,5.7,04,-1.0,39.166666666666664,32.6,31.833333333333332,-1.0
52,4.645161290322581,05,-1.0,46.29032258064516,37.193548387096776,41.32258064516129,-1.0
53,3.2666666666666666,06,-1.0,42.4,38.13333333333333,33.266666666666666,-1.0
54,5.387096774193548,07,-1.0,54.12903225806452,47.54838709677419,45.41935483870968,-1.0
55,3.7096774193548385,08,-1.0,51.354838709677416,50.25806451612903,35.12903225806452,-1.0
56,4.9,09,-1.0,46.53333333333333,43.4,35.53333333333333,-1.0
57,4.741935483870968,10,-1.0,31.096774193548388,22.193548387096776,29.225806451612904,-1.0
58,7.033333333333333,11,-1.0,41.53333333333333,18.933333333333334,41.333333333333336,-1.0
59,6.935483870967742,12,-1.0,49.67741935483871,15.35483870967742,49.483870967741936,-1.0
